datetime,side,price,shares,pnl
2017-09-22 16:11,SELL,389.75,100,55.0
2017-09-22 16:14,BUY,389.9,100,0.0
2017-09-22 16:20,SELL,390.3,100,40.0
2017-09-22 16:22,BUY,390.2,100,0.0
2017-09-22 16:24,SELL,390.0,100,-20.0
2017-09-22 16:30,BUY,390.0,100,0.0
2017-09-22 16:32,SELL,389.8,100,-20.0
2017-09-22 16:36,BUY,389.9,100,0.0
2017-09-22 16:37,SELL,389.8,100,-10.0
2017-09-22 16:39,BUY,390.2,100,0.0
2017-09-22 16:43,SELL,390.0,100,-20.0
2017-09-22 16:46,BUY,390.0,100,0.0
2017-09-22 16:47,SELL,389.8,100,-20.0
2017-09-22 16:50,BUY,389.9,100,0.0
2017-09-22 16:52,SELL,389.7,100,-20.0
2017-09-22 17:02,BUY,389.2,100,0.0
2017-09-22 17:05,SELL,388.75,100,-45.0
2017-09-22 17:16,BUY,387.6,100,0.0
2017-09-22 17:17,SELL,387.7,100,10.0
2017-09-22 17:19,BUY,388.25,100,0.0
2017-09-22 17:24,SELL,388.4,100,15.0
2017-09-22 17:25,BUY,388.65,100,0.0
2017-09-22 17:29,SELL,388.55,100,-10.0
2017-09-22 17:40,BUY,387.15,100,0.0
2017-09-22 17:43,SELL,386.9,100,-25.0
2017-09-22 17:45,BUY,387.4,100,0.0
2017-09-22 17:48,SELL,387.15,100,-25.0
2017-09-22 17:49,BUY,387.8,100,0.0
2017-09-22 17:53,SELL,387.3,100,-50.0
2017-09-22 17:57,BUY,387.5,100,0.0
2017-09-22 18:00,SELL,387.5,100,0.0
2017-09-22 18:01,BUY,387.4,100,0.0
2017-09-22 18:10,SELL,387.7,100,30.0
2017-09-22 18:24,BUY,384.8,100,0.0
2017-09-25 12:15,SELL,383.4,100,-140.0
2017-09-25 12:21,BUY,381.7,100,0.0
2017-09-25 12:25,SELL,381.45,100,-25.0
2017-09-25 12:27,BUY,382.0,100,0.0
2017-09-25 12:32,SELL,382.5,100,50.0
2017-09-25 12:38,BUY,382.2,100,0.0
2017-09-25 12:48,SELL,382.65,100,45.0
2017-09-25 12:52,BUY,382.55,100,0.0
2017-09-25 12:58,SELL,382.6,100,5.0
2017-09-25 13:02,BUY,383.15,100,0.0
2017-09-25 13:05,SELL,382.6,100,-55.0
2017-09-25 13:12,BUY,382.3,100,0.0
2017-09-25 13:15,SELL,381.95,100,-35.0
2017-09-25 13:21,BUY,381.95,100,0.0
2017-09-25 13:27,SELL,382.15,100,20.0
2017-09-25 13:29,BUY,383.2,100,0.0
2017-09-25 13:32,SELL,383.05,100,-15.0
2017-09-25 13:33,BUY,385.1,100,0.0
2017-09-25 13:42,SELL,388.2,100,310.0
2017-09-25 13:48,BUY,387.3,100,0.0
2017-09-25 13:49,SELL,387.2,100,-10.0
2017-09-25 13:54,BUY,388.9,100,0.0
2017-09-25 13:58,SELL,388.9,100,0.0
2017-09-25 13:59,BUY,388.65,100,0.0
2017-09-25 14:02,SELL,388.55,100,-10.0
2017-09-25 14:08,BUY,388.45,100,0.0
2017-09-25 14:10,SELL,388.35,100,-10.0
2017-09-25 14:18,BUY,387.0,100,0.0
2017-09-25 14:29,SELL,386.9,100,-10.0
2017-09-25 14:32,BUY,387.0,100,0.0
2017-09-25 14:33,SELL,387.0,100,0.0
2017-09-25 14:35,BUY,387.6,100,0.0
2017-09-25 14:38,SELL,387.4,100,-20.0
2017-09-25 14:40,BUY,387.6,100,0.0
2017-09-25 14:44,SELL,387.2,100,-40.0
2017-09-25 14:47,BUY,387.05,100,0.0
2017-09-25 14:49,SELL,387.2,100,15.0
2017-09-25 14:51,BUY,387.2,100,0.0
2017-09-25 14:56,SELL,387.3,100,10.0
2017-09-25 14:59,BUY,387.3,100,0.0
2017-09-25 15:07,SELL,388.35,100,105.0
2017-09-25 15:13,BUY,388.15,100,0.0
2017-09-25 15:14,SELL,387.95,100,-20.0
2017-09-25 15:16,BUY,388.35,100,0.0
2017-09-25 15:25,SELL,388.35,100,0.0
2017-09-25 15:28,BUY,388.8,100,0.0
2017-09-25 15:30,SELL,388.7,100,-10.0
2017-09-25 15:33,BUY,388.7,100,0.0
2017-09-25 15:34,SELL,388.6,100,-10.0
2017-09-25 15:39,BUY,388.45,100,0.0
2017-09-25 15:40,SELL,388.1,100,-35.0
2017-09-25 15:48,BUY,387.95,100,0.0
2017-09-25 15:54,SELL,388.15,100,20.0
2017-09-25 16:08,BUY,387.3,100,0.0
2017-09-25 16:19,SELL,388.25,100,95.0
2017-09-25 16:21,BUY,387.8,100,0.0
2017-09-25 16:22,SELL,387.6,100,-20.0
2017-09-25 16:27,BUY,387.8,100,0.0
2017-09-25 16:31,SELL,387.7,100,-10.0
2017-09-25 16:38,BUY,386.7,100,0.0
2017-09-25 16:40,SELL,386.7,100,0.0
2017-09-25 16:46,BUY,386.3,100,0.0
2017-09-25 16:52,SELL,386.2,100,-10.0
2017-09-25 16:53,BUY,386.35,100,0.0
2017-09-25 16:59,SELL,386.5,100,15.0
2017-09-25 17:00,BUY,386.7,100,0.0
2017-09-25 17:05,SELL,386.5,100,-20.0
2017-09-25 17:09,BUY,387.2,100,0.0
2017-09-25 17:21,SELL,387.9,100,70.0
2017-09-25 17:24,BUY,387.9,100,0.0
2017-09-25 17:25,SELL,387.6,100,-30.0
2017-09-25 17:28,BUY,387.8,100,0.0
2017-09-25 17:30,SELL,387.9,100,10.0
2017-09-25 17:31,BUY,387.9,100,0.0
2017-09-25 17:32,SELL,388.0,100,10.0
2017-09-25 17:33,BUY,388.75,100,0.0
2017-09-25 17:37,SELL,388.4,100,-35.0
2017-09-25 17:43,BUY,388.2,100,0.0
2017-09-25 17:50,SELL,387.8,100,-40.0
2017-09-25 17:53,BUY,388.1,100,0.0
2017-09-25 17:55,SELL,387.6,100,-50.0
